,title,content,complete_tags,words_in_tags
0,wall painting problems,painting help wits end painting hallway process weeks started priming green walls primer dried gave coats signature tropical siesta gold/yellow color several days dry time coats used best brushes rollers sherwin williams lowes offer days brush marks flashing peeling roller marks call valspar lowes clue bad batch paint ok.. sanded started grit moved grit smoothed grit. cleaned walls tsp let dry several days prime light sand paint coats storms cloud blue appropriate drying times step results worse start sand prime buy gallon storms cloud time buy floetrol ounces gallon paint little mixer thingie goes end drill mix cut trim give first coat dries guess result worse yellow know wrong painted bedroom brand paint brushes rollers problem advice appreciated damn hallway hired done wallpaper..help please.. anyone..,painting interior,interior painting
1,help electrical plan wrong suggestions,trying plan electrical project basement new ceiling lights recessed corresponding switches new outlets put drawing wondering use guys help figuring looking project right angle good approach take look plan share thoughts like things ... notes drawing walls filed black represent walls adding—new walls red represents existing elements power outlets case thinking drawing power new lights outlets switches green rectangles represent areas ceiling drywall thinking removing order accommodate drilling floor joists ceiling floor passing necessary cables joists ceiling run vertical image thanks,electrical wiring,wiring electrical
2,federal pacific stab-lok panels installed considered safer,info read federal pacific stab-lok panels reference older panels newer panels different considered safer,electrical-panel,electrical panel
3,building workstation piano keyboard pc desk mdf,process building new desk table top simple shelf cabinet side cabinets desk drawer slider slide keyboard want keep project £110 includes circular saw £40 live use wood oak pine expensive thinking using plywood pricey thinking using mdf pretty cheap main issue read mdf board sag thinking using board question timber frame support desk using mdf table top frame fine desk supported think use plywood someone recommend place delivers cheaply uk cheap need large sheets length need least issues use wood screws drilling pilot holes boards split planning buy sheets mdf x x depth sheets huge heavy get £34 planning take measurement store cut pieces way drive buy timber boards make frame pine brackets help appreciated,wood woodworking desk mdf,woodworking wood mdf desk
4,exposed romex cable garage ceiling conduit protection,working old house garage ceiling attic floor exposed beams ie sheetrock underside provides finished ceiling power garage door opener outlets side garage go romex stapled beams goes outlet garage opener connect continues side garage hides wall need insert romex conduit sleeve okay exposed ceiling ft height reach typical person outlet box nailed beam typical cover exposed metal box grounded,electrical wiring garage conduit,wiring electrical conduit garage
5,best way fill finishing nail holes door floor trim,couple similar questions none exact usage provides good answer consider average weak finishing wood work like good input let assume floor door trim poplar pine wood use let assume painted white use wood putty fill finishing nail/staple hole run minor issues wood putty dries smaller leaving indention noticeable months careful wiping surround area seems noticeable putty remnants filled holes looking tips/secrets getting perfect finish white wood update next couple days go wood using ecnerwal advice vs. spackle see turns best fillers try,wood trim finishing,trim finishing wood
6,painting bright color kilz single-coat one-coat paint overkill underkill,expecting close new house friday out-of-state father-in-law weekend help paint couple bedrooms rooms bright colors want replace bright colors light gray wall white wainscoting intend use coat kilz primer recommending use expensive one-coat paint behr marquee top single coat suffice overkill use expensive paint+primer top primer painting semi-gloss believe walls,painting paint repainting,paint painting repainting
7,need bracing x55 shelves,installing new shelves pantry x walls sides shelving material laminate particleboard considering heavy shelf full canned goods get using nailers walls rest shelves need l brackets middle additional support,kitchens shelving,kitchens shelving
8,turn irrigation system,moved house foreclosure irrigation system show set everything know control box read instructions believe test heads nothing comes gone box lawn valves seem open assume problem master water shut valve system found spend someone come turn valve help thoughts rainbird system helps feel relevant case,plumbing sprinkler-system,plumbing sprinkler system
9,engineered hickory hardwood painted osb subfloor,bought large abused foreclosed home restore home exists area hardwoods norm resale engineered wood good product used respected knowledgeable buyers bought property knew hardwood entire home renovations completed order afford project live home renovating entire home pet stained carpets damaged floor coverings first thing remove older carpeting vinyl goods sealed osb kills oil based primmer sealed floors bear brand latex porch paint coats offered easy clean oder free floors allowed live clean home years waiting hardwood last updates completed home done ready install hardwoods question arose minds ... ..is safe install engineered hardwood product osb painted floors covering painted osb cause vapor issues problems hardwood installed planned use ether rosin roofing felt new wood osb subfloor comments bad thing painting floors account issue creating major cost fix want make sure safe cause problems later home future longevity hardwood product armstrong american handscrape,installation hardwood engineered-flooring,hardwood installation flooring engineered
10,load center amperage total,yesterday took picture forgot took info plate amperage rating main question way calculate total amperage load center extra question calculate amperage rating looking thanks advance,electrical,electrical
11,fixing squeaking dryer,maytag bravos intelidry dryer model medx500xwo makes load squeaking like inspect rollers sure access dryer toe panel,dryer,dryer
12,attach copper pipe steel framing,code-approved way secure copper pipe metal framing members minimizes heat transfer potential reactivity different metals,plumbing copper-tubing,plumbing copper tubing
13,fit schlage lockset front door,moved condo kwikset lockset door wanted replace schlage lockset actual bolt portion deadbolt large fit pre-drilled hole wooden door expand hole little bit steel door looks holes pre-fabricated door lined plastic expand hole options getting new steel door made fit schlage lock measures take secure front door vulnerable point entry string breakins condo complex,doors lock security,lock security doors
14,crawlspace vapor barrier overkill,install vapor barrier damp atlanta georgia area rental home plan seal feet poured concrete walls overlap seal seams creating encapsulation space question product overkill http //www.mytarp.com/20-x-100-husky-yellow-guard-vapor-barrier.aspx something cheaper work //www.mytarp.com/20-x-100-10-mil-clear-plastic-sheeting.aspx http //www.mytarp.com/20-x-100-10-mil-black-plastic-sheeting.aspx mil products name brand branded vapor barrier mil plastic sheeting,vapor-barrier crawlspace,vapor barrier crawlspace
15,connect tv cables signal booster unit,trying connect coaxial cables antenna amplifier unit cables going various tv plugs single cable connected cables terminated connector shown unit allow screw connector place connectors need buy tools seen mention crimpers compression tools connect cables input different socket type tv outputs connectors presume need connection type thanks details able provide,tv-antenna coaxial-cable,tv cable coaxial antenna
16,cost effective fasteners wall,apartment shoddy walls truss construction encountered truss wall neighbor space trusses filled sand fine slag little gypsum mortar glue walls covered held thick tapestries house drilling hole hole size anthing betwenn drill bit size drill bit size +4mm using plugs hit miss hit stable patch hang something tried fischer dry-wall plugs reliable way fasten something wall two-component epoxy glue puropose built drill hole apply glue mixing cartridge hole enter threaded bolt wait done several problems system stuff expensive cartridge holes blocks minutes use get nozzles cartridge need plan way remove bolts wall chisel leaving large hole grind bolts paint good application hanging shelves securing furniture wall looking alternative problems goes simple plug looked question answers tell anything new,walls fastener,walls fastener
17,connect c-wire furnace existing wire mercury thermostat,existing thermostat old mercury wire device heat looking upgrade better model run c-wire know connect wire furnace help appreciated valve honeywell vr8200a2132 top unused th tr picture last image looks transformer open spots thanks enter image description,furnace thermostat thermostat-c-wire heater,wire c furnace thermostat heater
