,title,content,complete_tags,words_in_tags
0,change pwm values according encoder output,motor encoder set speed motor change speed encoder readings second fit equation ax^2 bx c x speed value given motor encoder readings second get motor encoder reading counted equal value encoder output get motor calculated using equation pwm input motor vary in-order get desired encoder output want control value using pid controller confused writing equations help appreciated..,motor pid pwm,pwm pid motor
1,removing quadcopter drift side,wrote quadcopter firmware based older code code stabilize copter equilibrium model behaving nice control laptop noticed copter hovering side controlled likely wind balanced turbulence idea gps accelerometer data implement function help hold position likely work hold altitude function changes pitch roll change height changed added routine allow hold altitude someone experiences mean avoiding side drifts model software problem opinion know position change wanted remote control hard localize correct position calculate distance caused drift gps precise void hold_altitude int_fast16_t ifl int_fast16_t ibl int_fast16_t ifr int_fast16_t ibr const int_fast32_t rcalt_m // enhance performance // function needed autonomous flight mode // hold altitude // gps auto-navigation _recvr.m_waypoint.m_emode == gpsposition :nothing_f return // return estimated gps barometer float fcuralti_cm _hal_board.get_alti_m // estimate current climb rate float fbaroclimb_cms _hal_board.get_baro .climb_rate_ms float facclclimb_cms _hal_board.get_accel_ms .z // calculate float faltstabout _hal_board.m_rgpids pid_thr_stab .get_pid fcuralti_cm float rcalt_m*100 float fbaracclout _hal_board.m_rgpids pid_thr_accl .get_pid faltstabout fbaroclimb_cms float faccacclout _hal_board.m_rgpids pid_thr_accl .get_pid faltstabout facclclimb_cms int_fast16_t ialtoutput _hal_board.m_rgpids pid_thr_rate .get_pid faltstabout fbaracclout // modify speed motors ifl += ialtoutput ibl += ialtoutput ifr += ialtoutput ibr += ialtoutput copter control // stabilise pids float pit_stab_output constrain_float _hal_board.m_rgpids pid_pit_stab .get_pid float rcpit vatti.x -250 float rol_stab_output constrain_float _hal_board.m_rgpids pid_rol_stab .get_pid float rcrol vatti.y -250 float yaw_stab_output constrain_float _hal_board.m_rgpids pid_yaw_stab .get_pid wrap180_f targ_yaw vatti.z -360 // pilot asking yaw change feed rate pid overwriting yaw stab output abs rcyaw yaw_stab_output rcyaw targ_yaw vatti.z // remember yaw pilot stops // rate pids int_fast16_t pit_output int_fast16_t constrain_float _hal_board.m_rgpids pid_pit_rate .get_pid pit_stab_output vgyro.x -500 int_fast16_t rol_output int_fast16_t constrain_float _hal_board.m_rgpids pid_rol_rate .get_pid rol_stab_output vgyro.y -500 int_fast16_t yaw_output int_fast16_t constrain_float _hal_board.m_rgpids pid_yaw_rate .get_pid yaw_stab_output vgyro.z -500 int_fast16_t ifl rcthr rol_output pit_output int_fast16_t ibl rcthr rol_output pit_output int_fast16_t ifr rcthr rol_output pit_output int_fast16_t ibr rcthr rol_output pit_output // hold altitude hold_altitude ifl ibl ifr ibr rcalt hal.rcout- write motor_fl ifl hal.rcout- write motor_bl ibl hal.rcout- write motor_fr ifr hal.rcout- write motor_br ibr,arduino quadcopter,quadcopter arduino
2,grasshopper effect quadcopter kk2.1.5,builded quadcopter use flight manager kk2.1.5 latest firmware increase throttle flight keep hand stick able maintain touch throttle goes see example video tried different values pid know best large quadcopter medium propellers small weight quadpcoter width propellers factor problem,quadcopter multi-rotor,quadcopter rotor multi
3,quadcopter hover tilted,way make quadcopter maintain steady hovering lateral movement constant altitude tilted left right accomplish,quadcopter,quadcopter
4,i-robot create connectors,correct assuming i-robot create 25-pin connector original version i-robot create thanks ... rick,irobot-create,create irobot
5,make bipedal robots,friend colleague mine studies robotics says bipedal robots present greater challenges stability locomotion much effort develop bipedal robots practical advantages course see advantage arm-like free appendages seems legs arms better design,mobile-robot design legged,mobile design robot legged
6,implement code inner outer pd controllers quadrotor position tracking,"quadrotor system multi-odes equations linearized model used position tracking determine desired x-y positions based roll pitch angles result nested loop inner outer controllers needed controlling quadrotor implementation put while-loop ode45 inner attitude controller asking read paper inner attitude controller run faster position controller i.e 100-200 hz code loops run inside while-loop correct position tracking insert while-loop running inner loop please suggest pseudocode position tracking dynamics equations nonlinear model quadrotor provided small angles model reduced following equations \begin align \ddot x \frac u_ \theta \cos\psi \phi \sin\psi \\ \ddot \frac u_ \theta \sin\psi \phi \cos\psi \\ \ddot z \frac u_ g \\ \ddot \phi \frac l i_ x u_ \\ \ddot \theta \frac l i_ u_ \\ \ddot \psi \frac i_ z u_ \\ \end align aforementioned equations linear position tracking need control x z choose desired roll pitch i.e \phi^ \text \theta^ \begin align \ddot x \frac u_ \theta^ \cos\psi \phi^ \sin\psi \\ \ddot \frac u_ \theta^ \sin\psi \phi^ \cos\psi \\ \end align closed form desired angles obtained follows \begin bmatrix \phi_ \\ \theta_ \end bmatrix \begin bmatrix \sin\psi \cos\psi \\ -\cos\psi \sin\psi \end bmatrix -1 \left \frac u_ \right \begin bmatrix \ddot x \\ \ddot \end bmatrix desired trajectory shown results actual trajectory vs desired code experiment position controller clear clc dt initial values system x dx dy z dz phi dphi theta dtheta psi pi/3 dpsi system parameters mass kg l arm length jx inertia seen rotation axis kg.m^2 jy inertia seen rotation axis kg.m^2 jz inertia seen rotation axis kg.m^2 g acceleration due gravity m/s^2 errorsumx errorsumy errorsumz errorsumphi errorsumtheta pose load desiredx pose ,1 desiredy pose ,2 desiredz pose ,3 ddesiredx ddesiredy ddesiredz desiredxpre desiredypre desiredzpre ddesiredphi ddesiredtheta desiredphipre desiredthetapre torque input ux kpx kdx kix ux kpx* desiredx x kdx* ddesiredx dx kix*errorsumx errorsumx errorsumx desiredx x ddesiredx desiredx desiredxpre dt desiredxpre desiredx uy kpy kdy kiy uy kpy* desiredy kdy* ddesiredy dy kiy*errorsumy errorsumy errorsumy desiredy ddesiredy desiredy desiredypre dt desiredypre desiredy u1 kpz kdz kiz u1 kpz* desiredz z kdz* ddesiredz dz kiz*errorsumz errorsumz errorsumz desiredz z ddesiredz desiredz desiredzpre dt desiredzpre desiredz desired phi theta r sin psi cos psi -cos psi sin psi dangles r\ m/u1 ux uy wrap angles desiredphi wraptopi dangles /2 desiredtheta wraptopi dangles u2 kpp kdp kip u2 kpp* desiredphi phi kdp* ddesiredphi dphi kip*errorsumphi errorsumphi errorsumphi desiredphi phi ddesiredphi desiredphi desiredphipre dt desiredphipre desiredphi -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- u3 kpt kdt kit u3 kpt* desiredtheta theta kdp* ddesiredtheta dtheta kit*errorsumtheta errorsumtheta errorsumtheta desiredtheta theta ddesiredtheta desiredtheta desiredthetapre dt desiredthetapre desiredtheta -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- u4 kps kds kis u4 kps* psi kds* dpsi ode equations quadrotor =================== x ===================== ddx u1/m theta*cos psi phi*sin psi dx dx ddx*dt x x dx*dt =================== ===================== ddy u1/m theta*sin psi phi*cos psi dy dy ddy*dt dy*dt =================== z ===================== ddz u1/m g dz dz ddz*dt z z dz*dt =================== phi ===================== ddphi l/jx *u2 dphi dphi ddphi*dt phi phi dphi*dt =================== theta ===================== ddtheta l/jy *u3 dtheta dtheta ddtheta*dt theta theta dtheta*dt =================== psi ===================== ddpsi *u4 dpsi dpsi ddpsi*dt psi psi dpsi*dt store erro errorx x desiredx errory desiredy errorz z desiredz errorphi phi pi/4 errortheta theta pi/4 errorpsi psi x x z z drawnow plot3 desiredx desiredy desiredz hold plot3 x z dt end figure1 figure set figure1 set subplot plot errorx title x -axis position xlabel sec ylabel x_ x subplot plot errory title -axis position xlabel sec ylabel y_ subplot plot errorz title z -axis position xlabel sec ylabel z_ z subplot plot errorpsi title \psi xlabel sec ylabel \psi_ \psi grid figure2 figure set figure2 figure plot3 x z grid hold plot3 desiredx desiredy desiredz pos get figure2 set figure2 pos pos print figure2 legend code desired trajectory clear clc fileid fopen angle -pi radius z z z z x end z angle angle angle wraptopi angle x radius cos angle radius sin angle z end x x z z fprintf fileid f \t f \t f\n x z end fclose fileid plot3 x z grid",quadcopter matlab microcontroller,quadcopter microcontroller matlab
7,program parallel pid control loops give robot multiple set points follow,process building robot encoders wheel measuring speed position compass sensor measuring heading seperate pid loops moment control robots speed control robots position make follow heading using line following type algorithm stuck merge control loops control robots heading speed say go degrees go metres stop like able control heading speed position say go degrees metres speed idea merge loops end day inputs heading speed position output pwm motors need use kind miso control scheme looked cascaded control accepts set point want set different set points kind state machine stuck,motor sensors control pid,control sensors pid motor
8,line follower robot program,working line follower robot part microelectronics project confused sort code use program pic18f microcontroller using someone give source code code,c line-following,following c line
9,risk overloading motor controller,bought brushed motor controllers china hobby-weight battle robot http intended use cordless drill motors driving left right wheel using lipos charged voltage someone put rest .8 volt excess unlikely damage controller rated fact motor controllers rated likely damage motors honest clear current drawn lipo battery instance connecting lipo motor result massive discharge motor take needs terms current someone point article casts light subject explain,motor battery,battery motor
10,software libraries parsing sensor data,"software libraries assisting general problem parsing stream sensor data use various sensors lidars gpsins units provide messages proprietary binary formats write drivers lot similar concepts used sensor general purpose datagram messages consisting e.g start/end sentinels length specifications checksum variety well-defined message formats payload ends tedious work develop driver time love solution write packet/message specifications format library finds extracts valid messages stream provides simple data structure format fussed language want general purpose datagram parsing library lot customisation sensors odd format parsing initial configuration start data stream something want library processing data real-time used part driver/application everything find basic low level tools interpreting individual elements lots time spent extracting individual elements specific i.e parsers written particular protocol concrete example consider nmea messages basic outer datagram starts followed message name comma separated data ends checksum line terminating character data ascii needs parsed binary computational use outer datagram allows validation removal incomplete/corrupted messages message name content parsed consumption field names specified ease use message turned gpgll,4533.21 n,17739.11 w,113215.22 a*31 programmatic data structure containing latitude longitude utc timestamp validity",sensors software driver,sensors driver software
11,finding cubic polynomial equation joints,professor gave assignment find cubic equation 3-dof manipulator end effector resting moves stops seconds go use jacobian matrix use path planning coefficient matrix solve problem assuming coefficient matrix given original position form taught use path planing original angles given,motion-planning inverse-kinematics motion jacobian,motion inverse planning kinematics jacobian
12,short distance ball transport,looking way transport balls diameter mm slope mm considering usage belt system seem good belt system space constraints robot take nylon belt jam nails make little slots use result considerable reduction available space means take account extra space required nails way means way reduce space used nails way anybody good solution,kinematics manipulator,manipulator kinematics
13,using accelerometer gyroscope sensor track speed position,problem working reverse engineering application zepp.com/baseball wearable device track users speed positional tracking object makes contact 3-d rendering using gyroscope get yaw pitch roll orientation device know use information calculate speed device collided object,imu accelerometer precise-positioning,precise positioning imu accelerometer
14,servo motor considerations quadruped,building quadruped sure features looking servo motor e.g digital vs analog signal vs dual bearings ones considering,rcservo walking-robot,walking robot rcservo
15,buy continuous servos absolute positioning,looking parts beginners robotics kit teach museum wondering servos buy continuous servos relative position encoders find continuous rotation servos absolute position encoders exist understand forums shopping questions suspect part exist understand understand servos use potentiometer position encoder turn rotation types encoders seem job thanks help,servos quadrature-encoder,quadrature servos encoder
